X,Y,Z
-3547,1735,4638
-3748,2064,6182
-3235,2057,5294
-3309,2059,5367
-3717,2017,6209
-3032,1906,5093
-3391,2003,6513
-2534,2041,5748
-2500,1965,6231
-2191,1828,6970
-797,1729,7784
36,1622,8267
-533,1594,8336
-1162,1262,9120
-258,1360,9011
-4413,2379,3193
-4776,2266,3975
-4941,2218,4359
-4950,2216,4357
-4249,2356,3026
-4314,2378,3128
-4386,2360,3380
-4603,2297,3796
-4907,2226,4293
-4343,2378,3315
-4403,2341,3593
-4669,2273,3993
-4679,2254,4144
-4767,2235,4233
-4811,2229,4266
-3998,2433,2852
-4050,2420,2919
-4050,2420,2919
-4304,2361,3455
-4322,2354,3460
-4346,2343,3567
-4389,2320,3623
-4515,2290,3847
-4602,2261,4065
-4567,2265,4048
-4602,2264,4076
-4608,2258,4101
-4613,2256,4111
-4600,2255,4110
-4586,2259,4101
-4229,2354,3548
-4223,2344,3561
-4240,2336,3568
-4219,2349,3589
-4983,2116,5131
-4995,2115,5139
-3764,2457,2720
-4198,2342,3593
-4212,2345,3599
-4200,2346,3612
-4316,2289,3857
-4711,2168,4730
-3723,2432,2926
-3754,2426,2957
-3924,2377,3267
-3985,2372,3311
-4026,2361,3399
-4061,2361,3547
-4080,2351,3592
-4124,2327,3714
-4110,2330,3704
-4097,2324,3735
-4153,2317,3765
-4791,2295,5054
-4708,2145,4924
-3517,2387,2496
-3540,2403,2520
-3967,2348,3619
-4028,2305,3841
-4625,2171,5069
-3918,2310,3824
-3203,2388,2403
-3620,2378,3253
-3656,2382,3350
-3657,2379,3400
-3741,2355,3522
-3703,2343,3629
-3924,2292,3944
-3890,2280,3972
-3191,2463,2839
-3430,2410,3090
-3978,2189,4313
-3686,2295,3940
-3723,2293,4080
-3737,2299,4183
-3603,2281,4067
-3824,2251,4472
-2830,2468,2904
-3101,2389,3262
-3199,2347,3541
-3197,2351,3542
-3646,2206,4433
-2619,2421,3246
-2714,2396,3427
-3493,2043,4654
-3623,1903,4581
-3496,2047,4721
-3480,1960,4627
-2887,2263,4296
-3599,1682,4607
-3748,2041,6332
-3094,2065,5047
-3206,2070,5288
-1668,2511,2737
-1668,2511,2737
-2996,2062,5067
-3027,1890,5113
-2905,2024,5296
-3075,1908,5211
-2930,2033,5370
-3105,1894,5298
-3261,1986,6512
