X,Y,Z,SIGNAL_STRENGTH
-3155,2267,4286,74
-2641,2350,3919,85
-602,1540,2973,0
-4317,2351,3351,79
-3832,2440,3018,81
-3613,2472,2673,52
-3404,1971,4588,100
-555,1582,8199,100
-3684,2315,2435,44
-3478,2421,2539,49
-4590,2126,5048,100
-3657,2333,3452,73
-3012,2436,2990,54
-3180,2284,3105,67
-4019,2319,3596,89
-2808,2485,2491,42
-3099,2355,3719,88
-2790,2356,3745,97
-68,4926,4386,0
-4134,2395,2988,100
-3727,2447,2697,64
-3836,2232,4276,100
-2856,2506,2700,86
-3051,2322,4110,90
-3083,1914,5064,100
-654,1599,8303,100
-4686,2287,3856,88
-4250,2380,3133,84
-4355,2357,3314,70
-4408,2332,3515,78
-3842,2117,5047,100
-3636,2373,3479,100
-2329,2437,3587,84
-4214,2307,2764,55
-4159,2392,2850,93
-4275,2391,3054,72
-4329,2375,3116,44
-4314,2379,3185,71
-4306,2378,3205,82
-4786,2248,4135,100
-4791,2237,4201,100
-4116,2412,2959,50
-4107,2409,2951,52
-4215,2397,3031,40
-4715,2246,4145,100
-3988,2313,2583,93
-3988,2313,2583,93
-3922,2354,2625,94
-3987,2426,2836,81
-3970,2426,2836,100
-3988,2426,2850,100
-3976,2426,2852,43
-4068,2408,2919,57
-4578,2266,4044,85
-4587,2254,4111,0
-4587,2254,4111,0
-3846,2245,2465,47
-3846,2245,2465,47
-3843,2439,2750,46
-3942,2429,2815,100
-4332,2327,3701,97
-4455,2278,3953,88
-4849,2218,4782,60
-4850,2212,4777,60
-3748,2404,2643,78
-3861,2435,2903,95
-3858,2413,3008,67
-4010,2374,3371,99
-4253,2313,3806,78
-4327,2279,3977,100
-4755,2191,4914,100
-3956,2375,3245,100
-4016,2362,3483,100
-4745,2184,4927,100
-4718,2200,4952,67
-3589,2461,2722,91
-3589,2461,2722,91
-3519,2449,2712,93
-3555,2443,2802,75
-3749,2378,3182,68
-3995,2321,3771,76
-4063,2282,3776,88
-4142,2274,3948,100
-4231,2261,4047,100
-3457,2452,2696,93
-3717,2379,3219,75
-3752,2351,3422,82
-3919,2347,3690,100
-3914,2303,3728,100
-3265,2273,2250,73
-3308,2479,2614,81
-3587,2373,3250,75
-3533,2384,3264,78
-3716,2372,3471,97
-3643,2374,3426,100
-3635,2372,3435,86
-3899,2299,3806,100
-3940,2256,4086,100
-3195,2458,2786,49
-3195,2456,2786,49
-3288,2457,2853,90
-3212,2473,2861,91
-3402,2417,3073,68
-3344,2413,3128,74
-3433,2374,3282,68
-3433,2365,3297,98
-3544,2380,3411,77
-3586,2351,3461,84
-3537,2361,3554,72
-3834,2256,4065,90
-3230,2449,2961,82
-3052,2512,2979,36
-3302,2334,3172,95
-3442,2374,3398,73
-3671,2271,4077,100
-3778,2259,4131,93
-3807,2241,4176,100
-4345,2104,5427,86
-3055,2453,2910,54
-3173,2267,3061,63
-3219,2353,3442,100
-3391,2336,3672,100
-3421,2343,3728,100
-3478,2320,3898,100
-3663,2225,4258,100
-2681,2497,2407,76
-2734,2512,2530,38
-3214,2351,3714,90
-3214,2351,3714,90
-3324,2336,3785,100
-3322,2335,3807,88
-3645,2211,4316,100
-2673,2518,2784,70
-3001,2353,3618,92
-3138,2321,3905,100
-3484,2174,4473,100
-2573,2458,2883,70
-2795,2367,3605,80
-3022,2336,3971,90
-3353,2213,4433,100
-3400,2149,4539,100
-3418,2136,4656,73
-3433,2138,4713,100
-2435,2453,3242,72
-2808,2345,3700,57
-3002,2298,4238,39
-3330,2136,4538,52
-3699,1835,4576,100
-3619,2085,5267,100
-3814,2090,6085,100
-2551,2370,3740,82
-3370,1998,4739,100
-3547,1735,4638,100
-3748,2064,6182,100
-3235,2057,5294,100
-3309,2059,5367,100
-3717,2017,6209,100
-3032,1906,5093,81
-3391,2003,6513,100
-2534,2041,5748,100
-2500,1965,6231,100
-2191,1828,6970,0
-797,1729,7784,100
36,1622,8267,100
-533,1594,8336,100
-1162,1262,9120,100
-258,1360,9011,100
-4413,2379,3193,100
-4776,2266,3975,74
-4941,2218,4359,66
-4950,2216,4357,100
-4249,2356,3026,81
-4314,2378,3128,79
-4386,2360,3380,41
-4603,2297,3796,100
-4907,2226,4293,100
-4343,2378,3315,58
-4403,2341,3593,100
-4669,2273,3993,100
-4679,2254,4144,45
-4767,2235,4233,100
-4811,2229,4266,100
-3998,2433,2852,82
-4050,2420,2919,100
-4050,2420,2919,100
-4304,2361,3455,77
-4322,2354,3460,46
-4346,2343,3567,100
-4389,2320,3623,100
-4515,2290,3847,100
-4602,2261,4065,0
-4567,2265,4048,100
-4602,2264,4076,100
-4608,2258,4101,100
-4613,2256,4111,57
-4600,2255,4110,100
-4586,2259,4101,0
-4229,2354,3548,73
-4223,2344,3561,73
-4240,2336,3568,53
-4219,2349,3589,51
-4983,2116,5131,72
-4995,2115,5139,58
-3764,2457,2720,92
-4198,2342,3593,76
-4212,2345,3599,51
-4200,2346,3612,46
-4316,2289,3857,100
-4711,2168,4730,0
-3723,2432,2926,100
-3754,2426,2957,75
-3924,2377,3267,100
-3985,2372,3311,96
-4026,2361,3399,100
-4061,2361,3547,84
-4080,2351,3592,100
-4124,2327,3714,41
-4110,2330,3704,67
-4097,2324,3735,100
-4153,2317,3765,100
-4791,2295,5054,0
-4708,2145,4924,42
-3517,2387,2496,34
-3540,2403,2520,50
-3967,2348,3619,45
-4028,2305,3841,40
-4625,2171,5069,62
-3918,2310,3824,75
-3203,2388,2403,71
-3620,2378,3253,80
-3656,2382,3350,100
-3657,2379,3400,100
-3741,2355,3522,90
-3703,2343,3629,100
-3924,2292,3944,85
-3890,2280,3972,77
-3191,2463,2839,70
-3430,2410,3090,75
-3978,2189,4313,100
-3686,2295,3940,100
-3723,2293,4080,81
-3737,2299,4183,100
-3603,2281,4067,94
-3824,2251,4472,100
-2830,2468,2904,87
-3101,2389,3262,92
-3199,2347,3541,82
-3197,2351,3542,82
-3646,2206,4433,100
-2619,2421,3246,79
-2714,2396,3427,62
-3493,2043,4654,100
-3623,1903,4581,100
-3496,2047,4721,100
-3480,1960,4627,100
-2887,2263,4296,41
-3599,1682,4607,100
-3748,2041,6332,100
-3094,2065,5047,100
-3206,2070,5288,100
-1668,2511,2737,0
-1668,2511,2737,0
-2996,2062,5067,77
-3027,1890,5113,94
-2905,2024,5296,100
-3075,1908,5211,100
-2930,2033,5370,100
-3105,1894,5298,100
-3261,1986,6512,100
-3268,1974,6517,100
-2598,2099,5535,96
-2602,2037,5573,91
-2501,2073,5689,100
-3146,1896,6677,100
-3085,1949,6765,100
-2656,1901,6768,100
-2196,1947,6150,100
-2415,1942,6345,100
-2334,1877,6657,0
-1939,1892,6506,100
-1798,1897,6457,100
-1485,1830,7140,100
-1372,1804,7246,100
-555,1681,7974,100
-4472,2373,3282,100
-4425,2350,3387,100
-4497,2338,3471,76
-4603,2296,3787,86
-4802,2232,4244,100
-4829,2226,4277,100
3188,2800,-986,0
-4094,2395,2879,65
-4646,2261,4065,100
-4648,2260,4072,100
-4743,2237,4198,100
-4027,2427,2848,30
-4038,2404,2874,50
-4209,2377,3314,90
-4204,2374,3308,100
-4621,2253,4086,100
-4631,2254,4123,62
-4019,2387,3079,81
-3865,2444,2893,94
-4036,2369,3431,88
-4278,2289,3849,100
-4255,2313,3845,100
-4338,2306,3877,93
-3826,2382,3104,100
-3917,2370,3231,92
-3980,2342,3389,100
-3980,2342,3389,100
-3961,2363,3453,100
-3961,2363,3453,100
-4045,2360,3508,92
-4023,2332,3596,80
-4110,2334,3715,100
-4171,2325,3751,71
-4158,2312,3854,100
-3691,2409,3062,80
-3726,2400,3093,94
-3793,2373,3164,63
-3893,2354,3574,100
-3922,2357,3588,50
-3935,2348,3604,100
-3924,2350,3612,100
