X,Y,Z,SIGNAL_STRENGTH
-3.65351,2.25063,5.31291,91.536
-3.71136,2.21909,5.33994,174.198
-3.35859,2.52071,2.5073,96.288
-3.54938,2.38229,3.35185,87.295
-3.5714,2.34007,3.66594,113.426
-3.2573,2.57554,1.87991,60.718
-3.31836,2.55411,2.39748,61.886
-3.52734,2.11527,4.83901,162.038
-3.30952,2.3795,1.62943,54.077
-3.17617,2.54882,1.9263,30.886
-3.17505,2.56472,1.97869,80.017
-3.18983,2.4748,2.76839,107.946
-3.21986,2.43306,3.03102,72.131
-3.22544,2.36782,3.56132,116.049
-3.26176,2.3519,3.82321,95.198
-2.8394,2.52007,1.99804,79.109
-2.6589,2.52063,1.94139,75.565
-5.1237,2.29258,3.74064,75.797
-5.20222,2.21517,4.31285,143.372
-5.00629,2.31743,3.61218,81.69
-4.98179,2.31602,3.63092,50.491
-4.84878,2.50714,2.73981,139.557
-4.94503,2.31746,3.6353,139.187
-4.88785,2.3092,3.71126,136.127
-4.90316,2.30159,3.74532,76.238
-4.77357,2.47099,2.80972,93.728
-4.74519,2.48222,2.90654,107.934
-4.87612,2.3083,3.72663,144.155
-4.82746,2.30942,3.68901,112.835
-4.82746,2.30942,3.68901,112.835
-4.71458,2.42353,3.08469,100.255
-4.75032,2.34387,3.41789,95.704
-4.79448,2.32734,3.55093,102.558
-4.8011,2.23598,4.21238,0
-4.87104,2.1862,4.58414,0
-4.55585,2.54802,2.31109,86.138
-4.59172,2.49933,2.71497,72.124
-4.61481,2.44103,2.98438,109.237
-4.62448,2.3666,3.24721,75.943
-4.62448,2.3666,3.24721,75.943
-4.69818,2.23687,4.12504,118.743
-4.75849,2.22802,4.17032,117.055
-4.79339,2.21227,4.38871,111.647
-4.47894,2.53969,2.32853,90.85
-4.49184,2.54793,2.44429,59.986
-4.49184,2.54793,2.44429,59.986
-4.59045,2.35787,3.30826,151.998
-4.58826,2.36116,3.3166,40.85
-4.67799,2.26972,4.00971,0
